method,threads,mean_ms,p95_ms,speedup_mean,speedup_p95
Serial,1,107.421,143.32,1,1
OMP,1,92.25,113.045,1.16445,1.26781
OMP,2,51.1333,63.5948,2.10079,2.25364
OMP,4,40.1102,49.1939,2.67814,2.91337
OMP,8,38.9795,48.0211,2.75583,2.98452
OMP,12,39.5029,47.1469,2.71931,3.03986
OMP,16,39.1407,44.8655,2.74447,3.19443
OMP,20,37.7498,57.2054,2.8456,2.50536
OMP,24,39.6054,48.4968,2.71227,2.95524
OMP,28,38.9972,46.0232,2.75457,3.11408
Thread,1,90.9293,97.2918,1.18136,1.47309
Thread,2,48.3344,55.4058,2.22245,2.58673
Thread,4,40.7413,52.5802,2.63665,2.72574
Thread,8,38.0037,46.2608,2.82658,3.09809
Thread,12,37.4953,48.1616,2.86491,2.97581
Thread,16,40.2052,49.5098,2.67181,2.89478
Thread,20,39.7136,49.727,2.70488,2.88213
Thread,24,38.4818,46.46,2.79147,3.0848
Thread,28,38.2988,55.2997,2.8048,2.59169
