method,threads,mean_ms,p95_ms,speedup_mean,speedup_p95
Serial,1,2558.1,2662.7,1,1
OMP,1,2692.59,2778.34,0.950054,0.958377
OMP,2,1387.99,1401.73,1.84303,1.89959
OMP,4,705.084,712.721,3.62808,3.73597
OMP,8,402.267,424.778,6.35922,6.26845
OMP,12,299.114,318.665,8.55228,8.3558
OMP,16,236.771,244.966,10.8041,10.8697
OMP,20,189.498,197.352,13.4994,13.4922
OMP,24,165.751,171.6,15.4335,15.517
OMP,28,146.49,152.783,17.4627,17.428
Thread,1,2644.99,2698,0.967151,0.986918
Thread,2,1350.13,1379.67,1.89471,1.92995
Thread,4,687.082,710.754,3.72314,3.74631
Thread,8,399.047,420.202,6.41053,6.33673
Thread,12,298.089,317.833,8.58167,8.37767
Thread,16,237.481,245.089,10.7718,10.8642
Thread,20,190.365,193.457,13.4379,13.7638
Thread,24,162.336,164.384,15.7581,16.1981
Thread,28,146.265,151.439,17.4895,17.5827
